Population (million) by year of countries in southern Africa,,,,,,,,,,,,,
year,Angola,Zambia,Malawi,Mozambique,Zimbabwe,Nambia,Botswana,Swaziland,Lesotho,South Africa,,,
1960,5.643,3.045,3.619,7.389,3.747,0.603,0.525,0.349,0.852,17.457,,,
1965,6.203,3.563,4.059,8.203,4.41,0.683,0.597,0.392,0.934,19.942,,,
1970,6.776,4.174,4.604,9.161,5.176,0.78,0.696,0.446,1.033,22.839,,,
1975,7.682,4.965,5.293,10.344,6.115,0.905,0.826,0.517,1.151,26.212,,,
1980,8.93,5.889,6.163,11.848,7.164,1.013,1.001,0.603,1.31,29.76,,,
1985,10.609,6.955,7.211,12.984,8.659,1.148,1.189,0.705,1.472,33.73,,,
1990,12.171,8.027,9.438,13.248,10.183,1.415,1.378,0.861,1.604,37.561,,,
1991,12.553,8.24,9.641,"13,592",10.443,1.466,1.417,0.886,1.635,38.438,,,
1992,12.968,8.452,9.73,14.071,10.683,1.514,1.456,0.906,1.667,39.36,,,
1993,13.404,6.669,9.756,14.637,10.906,1.56,1.495,0.924,1.7,40.3,,,
1994,13.841,8.896,9.797,15.217,11.117,1.607,1.533,0.942,1.732,41.219,,,
1995,14.269,9.137,9.909,15.759,11.32,1.655,1.569,0.961,1.761,42.088,,,
1996,14.682,9.394,10.11,16.248,11.518,1.706,1.604,0.982,1.787,42.899,,,
1997,15.089,9.667,10.382,16.701,11.71,1.759,1.638,1.004,1.81,43.657,,,
1998,15.504,9.95,10.705,17.137,11.893,1.811,1.67,1.026,1.831,44.372,,,
1999,15.95,10.24,11.044,17.584,12.065,1.858,1.7,1.046,1.851,45.059,,,
2000,16.441,10.531,11.376,18.068,12.222,1.899,1.728,1.061,1.869,45.728,,,
2001,16.983,10.824,11.696,18.589,12.366,1.934,1.755,1.073,1.886,46.385,,,
2002,17.573,11.12,12.014,19.14,12.5,1.962,1.78,1.081,1.902,47.026,,,
2003,18.203,11.422,12.337,19.717,12.634,1.987,1.804,1.087,1.918,47.649,,,
2004,18.866,11.732,12.676,20.313,12.778,2.009,1.829,1.095,1.934,48.247,,,
2005,19.553,12.052,13.04,20.923,12.94,2.032,1.856,1.105,1.95,48.821,,,
2006,20.262,12.383,13.429,21.547,13.124,2.056,1.884,1.121,1.966,49.365,,,
2007,20.998,12.726,13.841,22.188,13.33,2.08,1.914,1.138,1.982,49.887,,,
2008,21.759,13.083,14.271,22.847,12.558,2.106,1.946,1.159,2,50.412,,,
2009,22.55,12.456,14.715,23.524,13.811,2.137,1.98,1.181,2.019,50.971,,,
2010,23.369,13.85,15.167,24.221,14.086,2.173,2.015,1.203,2.041,51.585,,,
2011,24.219,14.265,15.628,24.939,14.387,2.216,2.051,1.225,2.064,52.264,,,
2012,25.096,14.7,16.097,25.677,14.711,2.264,2.089,1.248,2.09,52.998,,,
2013,25.998,15.152,16.577,26.434,15.055,2.317,2.129,1.271,2.117,53.767,,,
2014,26.92,15.621,17.069,27.212,15.412,2.371,2.169,1.295,2.146,54.54,,,
2015,27.859,16.101,17.574,28.011,15.777,2.426,2.209,1.319,2.175,55.291,,,
2016,28.813,16.591,18.092,28.829,16.15,2.48,2.25,1.343,2.204,56.015,,,
2017,29.784,17.094,18.622,29.669,16.53,2.534,2.292,1.367,2.233,56.717,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
